161,"Envy 17.3"" Touch-Screen Laptop",HP,17.3,Intel Core i7,949.99,12,512GB Solid State Drive + Optane,"Natural Silver, Sandblasted Anodized Finish",46,4.8
162,"17.3"" Laptop",HP,17.3,Intel Core i5,399.99,8,256GB Solid State Drive,"Jet Black, Maglia Pattern",470,4.6
176,"17.3"" Gaming Laptop",HP,17.3,AMD Radeon R5,529.99,8,1TB Hard Drive,"Chalkboard Gray, Textured Pattern",14,4.0
211,"Envy 17.3"" Touch-Screen Laptop",HP,17.3,Intel Core i7,959.99,12,512GB Solid State Drive + Optane,"Natural Silver, Sandblasted Anodized Finish",500,4.6
255,"17.3"" Gaming Laptop",HP,17.3,Intel Core i7,1269.99,8,1TB Hard Drive + 128GB Solid State Drive,"Aluminum, Shadow Black",0,5.0
